session_date,minute_of_session,usable_observation,bar_present,sigma_history_valid,prior_14_eligible_usable,band_warm
2008-03-31,240,True,True,True,14,True
2008-03-31,270,True,True,True,14,True
2008-03-31,300,True,True,True,14,True
2008-03-31,330,True,True,True,14,True
2008-03-31,360,True,True,True,14,True
2008-03-31,390,True,True,True,14,True
2008-04-01,30,True,True,True,14,True
2008-04-01,60,True,True,True,14,True
2008-04-01,90,True,True,True,14,True
2008-04-01,120,True,True,True,14,True
2008-04-01,150,True,True,True,14,True
2008-04-01,180,True,True,True,14,True
2008-04-01,210,True,True,True,14,True
2008-04-01,240,True,True,True,14,True
2008-04-01,270,True,True,True,14,True
2008-04-01,300,True,True,True,14,True
2008-04-01,330,True,True,True,14,True
2008-04-01,360,True,True,True,14,True
2008-04-01,390,True,True,True,14,True
2008-04-02,30,True,True,True,14,True
2008-04-02,60,True,True,True,14,True
2008-04-02,90,True,True,True,14,True
2008-04-02,120,True,True,True,14,True
2008-04-02,150,True,True,True,14,True
2008-04-02,180,True,True,True,14,True
2008-04-02,210,True,True,True,14,True
2008-04-02,240,True,True,True,14,True
2008-04-02,270,True,True,True,14,True
2008-04-02,300,True,True,True,14,True
2008-04-02,330,True,True,True,14,True
2008-04-02,360,True,True,True,14,True
2008-04-02,390,True,True,True,14,True
2008-04-03,30,True,True,True,14,True
2008-04-03,60,True,True,True,14,True
2008-04-03,90,True,True,True,14,True
2008-04-03,120,True,True,True,14,True
2008-04-03,150,True,True,True,14,True
2008-04-03,180,True,True,True,14,True
2008-04-03,210,True,True,True,14,True
2008-04-03,240,True,True,True,14,True
2008-04-03,270,True,True,True,14,True
2008-04-03,300,True,True,True,14,True
2008-04-03,330,True,True,True,14,True
2008-04-03,360,True,True,True,14,True
2008-04-03,390,True,True,True,14,True
2008-04-04,30,True,True,True,14,True
2008-04-04,60,True,True,True,14,True
2008-04-04,90,True,True,True,14,True
2008-04-04,120,True,True,True,14,True
2008-04-04,150,True,True,True,14,True
2008-04-04,180,True,True,True,14,True
2008-04-04,210,True,True,True,14,True
2008-04-04,240,True,True,True,14,True
2008-04-04,270,True,True,True,14,True
2008-04-04,300,True,True,True,14,True
2008-04-04,330,True,True,True,14,True
2008-04-04,360,True,True,True,14,True
2008-04-04,390,True,True,True,14,True
2008-04-07,30,True,True,True,14,True
2008-04-07,60,True,True,True,14,True
2008-04-07,90,True,True,True,14,True
2008-04-07,120,True,True,True,14,True
2008-04-07,150,True,True,True,14,True
2008-04-07,180,True,True,True,14,True
2008-04-07,210,True,True,True,14,True
2008-04-07,240,True,True,True,14,True
2008-04-07,270,True,True,True,14,True
2008-04-07,300,True,True,True,14,True
2008-04-07,330,True,True,True,14,True
2008-04-07,360,True,True,True,14,True
2008-04-07,390,True,True,True,14,True
2008-04-08,30,True,True,True,14,True
2008-04-08,60,True,True,True,14,True
2008-04-08,90,True,True,True,14,True
2008-04-08,120,True,True,True,14,True
2008-04-08,150,True,True,True,14,True
2008-04-08,180,True,True,True,14,True
2008-04-08,210,True,True,True,14,True
2008-04-08,240,True,True,True,14,True
2008-04-08,270,True,True,True,14,True
2008-04-08,300,True,True,True,14,True
2008-04-08,330,True,True,True,14,True
2008-04-08,360,True,True,True,14,True
2008-04-08,390,True,True,True,14,True
2008-04-09,30,True,True,True,14,True
2008-04-09,60,True,True,True,14,True
2008-04-09,90,True,True,True,14,True
2008-04-09,120,True,True,True,14,True
2008-04-09,150,True,True,True,14,True
2008-04-09,180,True,True,True,14,True
2008-04-09,210,True,True,True,14,True
2008-04-09,240,True,True,True,14,True
2008-04-09,270,True,True,True,14,True
2008-04-09,300,True,True,True,14,True
2008-04-09,330,True,True,True,14,True
2008-04-09,360,True,True,True,14,True
2008-04-09,390,True,True,True,14,True
2008-04-10,30,True,True,True,14,True
2008-04-10,60,True,True,True,14,True
2008-04-10,90,True,True,True,14,True
2008-04-10,120,True,True,True,14,True
2008-04-10,150,True,True,True,14,True
2008-04-10,180,True,True,True,14,True
